mode,lrmsd_obs
97,-4.957232921940107
98,-4.42153949851313
99,-4.354900063011533
100,-4.096843666949827
101,-3.8026800747527587
102,-4.281967183187673
103,-3.955599140293694
104,-4.015557518552919
105,-4.622455115570402
106,-4.162856476385723
107,-4.42221928329951
108,-3.4534920594792613
109,-3.999101375801293
110,-3.962410547188392
111,-4.48183747968356
112,-4.203232859904022
113,-4.195798169178439
114,-4.857916284121867
115,-4.495961713381381
116,-3.7786054067589356
117,-4.8304303873242525
118,-4.022554993456704
119,-4.40426385114754
120,-4.398952866127818
121,-4.267072883767987
122,-4.627261310125837
123,-4.335604409595868
124,-4.638608923597879
125,-4.182281208562037
126,-4.307907136310986
127,-4.545655301844497
128,-4.323234193547045
129,-4.6999092347252915
130,-4.347337327935937
131,-4.051564809201025
132,-4.369869116772581
133,-4.28854536706407
134,-4.496214460007938
135,-4.545284701479956
136,-3.6114724968393603
137,-4.551613649987824
138,-4.264112384977818
139,-4.5937840788194055
140,-3.9004274953069213
141,-4.576325781915144
142,-4.976562681763272
143,-4.103990779299992
144,-4.266327616082516
145,-4.265953451962992
146,-4.557302541492545
147,-4.558834758027922
148,-3.992568470710548
149,-4.374769223156193
150,-4.403996034782815
151,-4.464936318654074
152,-4.354280308903487
153,-4.595683539219152
154,-4.750096769703385
155,-4.370440806196649
156,-4.019552327370527
157,-4.000398772351259
158,-3.945630784001878
159,-4.281486292337496
160,-3.9991927162183543
161,-4.497105139945269
162,-3.8276557178797734
163,-4.221714603241791
164,-4.446035206441451
165,-4.766805503942434
166,-4.87548943043867
167,-4.441723178252159
168,-4.588681804410795
169,-5.008901949555522
170,-4.323618353357709
171,-4.1751316123606435
172,-3.9901475802006123
173,-4.528798316995032
174,-4.3631211180535105
175,-3.628450006056249
176,-4.198239814842727
177,-4.709673726517663
178,-4.12647279159034
179,-5.094232491536791
180,-4.6405617233377985
181,-4.35935272484459
182,-4.118516690821604
183,-4.0032348485495906
184,-4.201946719714445
185,-4.8365548584644875
186,-4.859712348826248
187,-4.29564333667984
188,-4.414594868457085
189,-4.3183656283846545
190,-4.497391515876481
191,-4.429701193350278
192,-4.318168342229057
193,-4.298366173439496
194,-4.395469282781562
195,-4.9915265424686925
196,-4.584401268935089
197,-4.400882555393042
198,-4.405857218974488
199,-4.683500886122412
200,-4.694429345578142
201,-4.908527922448172
202,-5.683875948666116
203,-5.24380901271129
204,-4.907974716584857
205,-5.129272304271746
206,-5.423836475727936
207,-5.621611186604843
208,-4.716340537858628
209,-5.742619178516675
210,-6.471047887134614
211,-6.8388196859537915
212,-6.358905224140862
213,-6.297287245730327
214,-6.686940238059319
215,-6.013226648288313
216,-6.1279484661330015
217,-5.708136623873388
218,-5.748198981069758
219,-6.429166572975413
220,-6.345073193052682
221,-6.905071969876205
222,-6.5555143494834445
223,-6.043592851738357
224,-6.424991878069442
225,-6.589138644919728
226,-6.381359298549283
227,-7.23819069961644
228,-6.309512197992071
229,-6.5845201843493735
230,-6.871497155679892
231,-5.999193758027945
232,-7.711420590106027
233,-6.632490738334025
234,-6.861627431774717
235,-7.183087440990459
236,-6.681142850723018
237,-7.446297991981541
238,-6.004238252988126
239,-6.780673265537616
240,-6.186878558275334
241,-6.588864376741948
242,-6.893698393015445
243,-6.016319200365776
244,-6.838536092204694
245,-7.16268860860437
246,-6.67534280162678
247,-6.458702838080491
248,-6.849305729411255
249,-7.792767419798153
250,-6.4428501178480655
251,-7.744527548266397
252,-6.84606994404617
253,-6.973991540818435
254,-6.73734172306414
255,-7.13894762462045
256,-6.766825261181965
257,-7.203030626040161
258,-7.029164940509878
259,-6.970386524165819
260,-6.518193031672064
261,-7.042228647396631
262,-6.851809518030289
263,-7.3561155801839195
264,-7.886031436592938
265,-7.658589706898166
266,-6.057383854106
267,-6.428785758393553
268,-7.07988170318381
269,-6.785091496818274
270,-7.108954089964841
271,-7.280669392423167
272,-7.206255453422045
273,-7.2019402474097465
274,-7.3945204969403955
275,-7.716063165792989
276,-7.400890660127492
277,-7.009754533282881
278,-6.929537108921723
279,-6.680619878679721
280,-7.304987988039592
281,-6.958343823404078
282,-6.873720505511996
283,-6.9246288924315085
284,-7.159215360920013
285,-7.344773059174303
286,-6.374876849784546
287,-7.760080277081929
288,-6.939393898662239
289,-7.001885830084465
290,-8.101662751309537
291,-8.132072817750638
292,-7.023491877440712
293,-6.999698017967582
294,-6.883963791190649
295,-7.61224115351679
296,-7.180044674796165
297,-6.7157921737693504
298,-7.754412978300989
299,-7.325580897357839
300,-7.024536793418073
301,-7.422703125862316
302,-8.09518727675891
303,-7.374196636237947
304,-7.66006855136894
305,-7.310365664094274
306,-7.251461585830977
307,-6.53813330992269
308,-7.686543829173476
309,-7.4079952961603475
310,-7.048790831912538
311,-7.576525729840626
312,-8.209368683145712
313,-7.006857114084684
314,-7.091829994787834
315,-8.085001943098765
